,yearNm,hsnNm,prizenm,cnt
402,2023,嘉義市,雲端發票八百元獎,4
403,2023,彰化縣,雲端發票八百元獎,52
404,2023,臺北市,二獎,24
405,2023,臺南市,雲端發票五百元獎,76
406,2019,新竹縣,三獎,51
407,2021,南投縣,雲端發票百萬元獎,1
408,2021,屏東縣,六獎,185
409,2022,雲林縣,六獎,120
410,2023,宜蘭縣,雲端發票五百元獎,24
411,2020,桃園市,雲端發票兩千元獎,75
412,2020,新竹市,雲端發票兩千元獎,22
413,2021,嘉義市,特獎,4
414,2022,屏東縣,三獎,119
415,2019,桃園市,二獎,61
416,2020,宜蘭縣,五獎,78
417,2020,基隆市,三獎,42
418,2021,嘉義縣,二獎,14
419,2022,臺中市,四獎,176
420,2019,臺東縣,三獎,40
421,2020,新北市,四獎,174
422,2021,新竹縣,頭獎,5
423,2023,桃園市,雲端發票兩千元獎,25
424,2021,金門縣,三獎,20
425,2022,宜蘭縣,頭獎,3
426,2022,苗栗縣,六獎,108
427,2022,連江縣,雲端發票兩千元獎,9
428,2023,連江縣,雲端發票八百元獎,8
429,2019,新竹市,頭獎,4
430,2020,新北市,雲端發票五百元獎,175
431,2020,臺北市,千萬特獎,17
432,2021,臺東縣,二獎,8
433,2022,臺東縣,特獎,1
434,2023,苗栗縣,三獎,25
435,2019,新北市,特獎,9
436,2023,桃園市,五獎,26
437,2019,桃園市,雲端發票五百元獎,26
438,2019,高雄市,雲端發票兩千元獎,183
439,2020,宜蘭縣,雲端發票兩千元獎,69
440,2020,屏東縣,六獎,177
441,2020,雲林縣,六獎,120
442,2021,雲林縣,特獎,1
443,2022,高雄市,雲端發票百萬元獎,9
444,2022,新北市,頭獎,26
445,2023,雲林縣,三獎,27
446,2019,花蓮縣,六獎,66
447,2021,南投縣,雲端發票兩千元獎,69
448,2022,連江縣,三獎,6
449,2020,桃園市,雲端發票百萬元獎,4
450,2020,新北市,特獎,13
451,2020,新竹市,雲端發票百萬元獎,3
452,2021,嘉義縣,雲端發票五百元獎,108
453,2023,苗栗縣,雲端發票百萬元獎,1
454,2019,苗栗縣,特獎,3
455,2021,高雄市,雲端發票百萬元獎,11
456,2023,新竹縣,雲端發票八百元獎,25
457,2021,桃園市,千萬特獎,5
458,2021,嘉義市,雲端發票兩千元獎,12
459,2021,嘉義縣,三獎,66
460,2021,臺南市,雲端發票百萬元獎,7
461,2022,金門縣,四獎,30
462,2022,臺東縣,四獎,82
463,2023,金門縣,雲端發票八百元獎,10
464,2023,臺東縣,雲端發票八百元獎,30
465,2023,臺中市,千萬特獎,2
466,2019,宜蘭縣,六獎,78
467,2020,基隆市,千萬特獎,3
468,2023,苗栗縣,二獎,10
469,2023,新竹市,特獎,1
470,2019,臺中市,雲端發票五百元獎,59
471,2020,花蓮縣,六獎,66
472,2021,苗栗縣,雲端發票五百元獎,108
473,2022,金門縣,五獎,30
474,2022,澎湖縣,三獎,14
475,2023,南投縣,雲端發票五百元獎,26
476,2023,屏東縣,雲端發票百萬元獎,2
477,2023,新北市,六獎,58
478,2020,彰化縣,三獎,126
479,2022,嘉義市,三獎,12
480,2019,屏東縣,頭獎,6
481,2019,新竹縣,雲端發票五百元獎,26
482,2020,南投縣,雲端發票五百元獎,78
483,2020,基隆市,四獎,42
484,2022,南投縣,雲端發票八百元獎,78
485,2019,嘉義市,雲端發票五百元獎,4
486,2021,臺北市,雲端發票八百元獎,39
487,2023,苗栗縣,雲端發票兩千元獎,31
488,2020,桃園市,二獎,61
489,2021,高雄市,雲端發票兩千元獎,197
490,2021,新竹縣,特獎,1
491,2021,臺北市,頭獎,32
492,2021,嘉義市,雲端發票百萬元獎,1
493,2022,金門縣,雲端發票兩千元獎,27
494,2022,臺東縣,雲端發票兩千元獎,66
495,2019,新竹縣,五獎,84
496,2021,基隆市,頭獎,1
497,2022,屏東縣,雲端發票兩千元獎,149
498,2022,桃園市,二獎,57
499,2022,基隆市,雲端發票八百元獎,42
500,2023,桃園市,特獎,2
501,2022,屏東縣,五獎,189
502,2022,臺東縣,五獎,94
503,2023,基隆市,二獎,6
504,2023,臺北市,三獎,26
505,2020,宜蘭縣,三獎,59
506,2021,臺南市,頭獎,14
507,2019,桃園市,五獎,78
508,2020,彰化縣,二獎,42
509,2021,桃園市,頭獎,9
510,2021,新竹市,頭獎,5
511,2021,臺東縣,六獎,96
512,2022,屏東縣,二獎,29
513,2022,雲林縣,雲端發票百萬元獎,4
514,2023,高雄市,三獎,60
515,2023,雲林縣,二獎,13
516,2019,嘉義縣,千萬特獎,1
517,2023,桃園市,雲端發票五百元獎,26
518,2023,澎湖縣,四獎,10
519,2021,南投縣,四獎,77
520,2021,桃園市,雲端發票八百元獎,39
521,2021,高雄市,特獎,4
522,2022,高雄市,雲端發票八百元獎,227
523,2022,連江縣,四獎,18
524,2022,彰化縣,特獎,3
525,2023,苗栗縣,五獎,36
526,2020,屏東縣,雲端發票五百元獎,168
527,2020,新竹市,特獎,1
528,2022,臺東縣,三獎,41
529,2023,花蓮縣,六獎,26
530,2019,基隆市,頭獎,2
531,2022,桃園市,三獎,73
532,2022,高雄市,頭獎,26
533,2022,新竹市,雲端發票五百元獎,18
534,2023,屏東縣,千萬特獎,2
535,2019,高雄市,特獎,8
536,2019,嘉義市,千萬特獎,1
537,2020,新竹市,四獎,29
